Species,Jap_name,Date,Season,Region,Site,Point,Lat,Long,Depth,Cover,DW_g_m2,Source,Person
Ecklonia cava ssp. Kurome,Kurome,2021/6/1,Flourish,SouthJapanSea,Shimonoseki,Mitsuse,34.2234,130.9179,5.5,80,987.48,BC_project,Abe
Ecklonia cava,Kajime,2006/5/10,Flourish,SetoIslandSea,Himeji,Yanoshima,34.65863776,134.5281704,NA,60,1000,JuuyoushicchiDB,Shimabukuro
Ecklonia cava ssp. Kurome,Kurome,2022/5/16,Flourish,SetoIslandSea,SunoOhshima,Katashima,33.918,132.4626,2.5,100,913.56,BC_project,Shimabukuro
Ecklonia cava ssp. Kurome,Kurome,2022/5/16,Flourish,SetoIslandSea,SunoOhshima,Katashima,33.918,132.4626,2.6,100,938.64,BC_project,Shimabukuro
Ecklonia cava ssp. Kurome,Kurome,2022/5/16,Flourish,SetoIslandSea,SunoOhshima,Katashima,33.918,132.4626,2.2,100,460.96,BC_project,Shimabukuro
Ecklonia cava ssp. Kurome,Kurome,2012/6/22,Flourish,SetoIslandSea,Yanai,Heigun_Kohna,33.7959,132.2421,5.75,70,830,Yoshida et al. (2020),Yatsuya
Ecklonia cava ssp. Kurome,Kurome,2012/6/8,Flourish,SetoIslandSea,Yanai,Heigun_Matsura ,33.7711,132.2547,1.25,100,1280,Yoshida et al. (2020),Yatsuya
Ecklonia cava ssp. Kurome,Kurome,2012/6/23,Flourish,SetoIslandSea,SunoOhshima,Katashima_Tokkuribana,33.9147,132.465,1,100,1140,Yoshida et al. (2020),Yatsuya
Ecklonia cava ssp. Kurome,Kurome,2012/6/23,Flourish,SetoIslandSea,SunoOhshima,Katashima_Hagibana,33.918,132.4626,0.75,100,1320,Yoshida et al. (2020),Yatsuya
Ecklonia cava ssp. Kurome,Kurome,2012/7/10,Flourish,SetoIslandSea,SunoOhshima,Yashiro-jima_Matsugahana,33.9517,132.4384,3.25,55,740,Yoshida et al. (2020),Yatsuya
Ecklonia cava ssp. Kurome,Kurome,2012/7/10,Flourish,SetoIslandSea,SunoOhshima,Yashirojima_Hiramatsu,33.9505,132.4134,5.25,7.5,90,Yoshida et al. (2020),Yatsuya
Ecklonia cava ssp. Kurome,Kurome,2004/6/4,Flourish,SouthernPacific,EhimeIkata,Ohba,33.36443,132.66853,NA,70,1120,JuuyoushicchiDB,Shimabukuro
Ecklonia cava ssp. Kurome,Kurome,2003/7/1,Flourish,SouthernPacific,KochiToyo,NonePort,33.4938,134.26259,NA,85,1542.2064,JuuyoushicchiDB,Shimabukuro
Ecklonia cava,Kajime,2022/5/19,Flourish,SouthernPacific,TokushimaMinami,Abe,33.7871,134.6496,4.5,10,253.386,BC_project,Yoshimi
Ecklonia cava,Kajime,2023/10/24,Decline,SouthernPacific,TokushimaMinami,Izari,33.8004216,134.6694406,NA,40,431.49484,BC_project,Ogura
Ecklonia cava ssp. stolonifera ,Tsuruarame,2019/4/22,Flourish,EastChinaSea,Kitakyushu,Wakamatsu,33.93381047,130.7315941,9.5,1,12.21961615,J-Power_Wakamatsu,Kuwae
Ecklonia cava ssp. stolonifera ,Tsuruarame,2020/5/14,Flourish,EastChinaSea,Kitakyushu,Wakamatsu,33.93381047,130.7315941,11.1,20,40.4039263,J-Power_Wakamatsu,Kuwae
Ecklonia cava ssp. stolonifera ,Tsuruarame,2020/5/14,Flourish,EastChinaSea,Kitakyushu,Wakamatsu,33.93381047,130.7315941,11,50,38.55903856,J-Power_Wakamatsu,Kuwae
Ecklonia cava ssp. stolonifera ,Tsuruarame,2020/5/14,Flourish,EastChinaSea,Kitakyushu,Wakamatsu,33.93381047,130.7315941,11,20,21.42857017,J-Power_Wakamatsu,Kuwae
Ecklonia cava ssp. stolonifera ,Tsuruarame,2020/5/14,Flourish,EastChinaSea,Kitakyushu,Wakamatsu,33.93381047,130.7315941,9.5,1,3.815864926,J-Power_Wakamatsu,Kuwae
Ecklonia cava ssp. stolonifera ,Tsuruarame,2021/5/1,Flourish,EastChinaSea,Kitakyushu,Wakamatsu,33.93381047,130.7315941,6,1,11.45865526,J-Power_Wakamatsu,Kuwae
Ecklonia cava ssp. stolonifera ,Tsuruarame,2021/5/1,Flourish,EastChinaSea,Kitakyushu,Wakamatsu,33.93381047,130.7315941,11,30,68.95544433,J-Power_Wakamatsu,Kuwae
Ecklonia cava ssp. stolonifera ,Tsuruarame,2021/5/1,Flourish,EastChinaSea,Kitakyushu,Wakamatsu,33.93381047,130.7315941,6,10,3.238507972,J-Power_Wakamatsu,Kuwae
Ecklonia cava ssp. stolonifera ,Tsuruarame,2021/5/1,Flourish,EastChinaSea,Kitakyushu,Wakamatsu,33.93381047,130.7315941,11,60,252.28508,J-Power_Wakamatsu,Kuwae
Ecklonia cava ssp. stolonifera ,Tsuruarame,2021/5/1,Flourish,EastChinaSea,Kitakyushu,Wakamatsu,33.93381047,130.7315941,11,40,122.116526,J-Power_Wakamatsu,Kuwae
Ecklonia radicosa,Antokume,2022/4/1,Flourish,EastChinaSea,Nagasaki,Nozakijima,33.18621393,129.1381572,9,4,2,BC_project,Kiyomoto
Ecklonia radicosa,Antokume,2022/4/1,Flourish,EastChinaSea,Nagasaki,Nozakijima,33.18621393,129.1381572,9,20,6,BC_project,Kiyomoto
Ecklonia radicosa,Antokume,2022/4/1,Flourish,EastChinaSea,Nagasaki,Nozakijima,33.18621393,129.1381572,9,40,9,BC_project,Kiyomoto
Ecklonia radicosa,Antokume,2022/4/1,Flourish,EastChinaSea,Nagasaki,Nozakijima,33.18621393,129.1381572,9,50,15,BC_project,Kiyomoto
Ecklonia radicosa,Antokume,2022/4/1,Flourish,EastChinaSea,Nagasaki,Nozakijima,33.18621393,129.1381572,9,80,40,BC_project,Kiyomoto
Ecklonia radicosa,Antokume,2022/4/1,Flourish,EastChinaSea,Nagasaki,Nozakijima,33.18621393,129.1381572,9,90,61,BC_project,Kiyomoto
